contratto_cod|codice_ordine_sap|tipo_contratto|codice_opec|data_firma|net_amount|causale_annullamento|data_annullamento|codice_agente|status_quote|creazione_dta
Y05810992||Facile|H07JMZTT|3/31/2022|3398|||12131|Scatto Bloccato|12/1/2022
Y05804812||Facile|DR7UPAAP|3/31/2022|4028.4|||12173|Scatto Bloccato|12/1/2022
Y05816702||Facile|H02BL9PP|3/31/2022|599|||60848|Scatto Bloccato|12/1/2022
Y05277472||Facile|H01DDZYY|3/31/2022|599|||12229|Scatto Bloccato|12/1/2022
Y05820272||Facile|GJGP6AA5|3/31/2022|1198|||12109|Scatto Bloccato|12/1/2022
Y05821272||Facile|H06VL977|3/31/2022|2597|||12498|Scatto Bloccato|12/1/2022
Y04701602||Facile|H06UPAED|3/31/2022|1198|||12052|Scatto Bloccato|12/1/2022
Y05820962||Facile|H07JM0LL|3/31/2022|599|||6610|Scatto Bloccato|12/1/2022
Y05827522||Facile|H05TG1UU|3/31/2022|948|||60810|Scatto Bloccato|12/1/2022
Y05809752||Facile|H01T4700|3/31/2022|599|||10807|Scatto Bloccato|12/1/2022
Y05812542||Facile|H06SZF65|3/31/2022|2247|||11621|Scatto Bloccato|12/1/2022
Y05816302||Facile|DLHHFAAE|3/31/2022|599|||56138|Scatto Bloccato|12/1/2022
Y05812202||Facile|H06R5UWW|3/31/2022|599|||2100|In attesa scatto|12/1/2022
Y05817952||Facile|H015LW66|3/31/2022|599|||8404|Scatto Bloccato|12/1/2022
Y05819712||Facile|H06WKHUT|3/31/2022|948|||6846|Scatto Bloccato|12/1/2022
Y05633582||Facile|DADV6AA6|3/31/2022|864|||12895|Scatto Bloccato|12/1/2022
Y05809812||Facile|BRM4HAAH|3/31/2022|948|||11941|In attesa scatto|12/1/2022
Y05821242||Facile|H06DPPSR|3/31/2022|599|||12499|Scatto Bloccato|12/1/2022
Y05089382||Facile|F9AHAAAG|3/31/2022|824|||2577|Scatto Bloccato|12/1/2022
Y05499652||Facile|H02Y7FML|3/31/2022|1198|||12214|Scatto Bloccato|12/1/2022
Y05813892||Facile|H03RDNLK|3/31/2022|1247|||7339|Scatto Bloccato|12/1/2022
Y05816622||Facile|H0668K54|3/31/2022|599|706|4/19/2022|12241|Scatto Bloccato|12/1/2022
Y05330272||Facile|GA2J9AA8|3/31/2022|1232.3|||3469|Scatto Bloccato|12/1/2022
Y05819432||Facile|H014RAML|3/31/2022|2918|||10086|Scatto Bloccato|12/1/2022
Y05821382||Facile|H04F6WUU|3/31/2022|948|||12727|Scatto Bloccato|12/1/2022
Y05787052||Facile|GGH5SAAS|4/6/2022|1198|||6610|Scatto Bloccato|12/1/2022
Y05656572||Facile|H07BUSPN|3/31/2022|7247|||11429|Scatto Bloccato|12/1/2022
Y04735842||Facile|DHJWTAAT|4/1/2022|1004|||12989|Scatto Bloccato|12/2/2022
Y05412852||Facile|ED5A0AAZ|4/1/2022|999|||12150|Scatto Bloccato|12/2/2022
Y05745562||Facile|GLTF9AA8|4/7/2022|1198|||12236|Scatto Bloccato|12/2/2022
Y05745702||Facile|DGMNDAAB|4/7/2022|1748|||12236|Scatto Bloccato|12/2/2022
Y03324522||Facile|H05PLE32|11/25/2021|249|||991|Scatto Bloccato|12/5/2022
Y10821341|###############################################################################################################################################################################################################################################################|Facile|H07HWFNM|12/21/2022|2292.45|||12494|Accepted|12/6/2022
Y10844621|###############################################################################################################################################################################################################################################################|Facile|H01LT5JJ|1/9/2023|832.5|||2076|Accepted|12/7/2022
Y10847731|###############################################################################################################################################################################################################################################################|Facile|H06G55HH|12/13/2022|786.01|||5198|Accepted|12/7/2022
Y10966591|###############################################################################################################################################################################################################################################################|Facile|H06N1G76|12/21/2022|1194.3|||11549|Accepted|12/14/2022
Y11019910|###############################################################################################################################################################################################################################################################|365|H0612VHH|12/22/2022|3496|||12131|Accepted|12/16/2022
Y11079590|###############################################################################################################################################################################################################################################################|365|H051EKJH|12/23/2022|40349.99|||12539|Accepted|12/20/2022
Y11102840|###############################################################################################################################################################################################################################################################|365|H0106X22|12/21/2022|3721.5|||12131|Accepted|12/21/2022
Y11103381|###############################################################################################################################################################################################################################################################|Facile|H07ZW9DD|12/21/2022|1033.2|||9393|Accepted|12/21/2022
Y11103930|###############################################################################################################################################################################################################################################################|365|H061YZGG|12/21/2022|498.99|||30221|Accepted|12/21/2022
Y11119221||Facile|H02SMPTS|1/15/2023|1048|ANN||12123|Annullata|12/22/2022
Y11203613||Facile|GFY56AA6|12/29/2022|0|||SYSINT24|In attesa scatto|12/29/2022
Y11204773||Facile|BYE51AA1|12/29/2022|0|||SYSINT24|In attesa scatto|12/29/2022
Y11252551|###############################################################################################################################################################################################################################################################|Facile|BT0WYAAY|1/9/2023|3341.37|||5088|Accepted|1/3/2023
Y11279981|###############################################################################################################################################################################################################################################################|Facile|GM0EMAAL|1/10/2023|2000.96|||5088|Accepted|1/5/2023
Y11335541|###############################################################################################################################################################################################################################################################|Facile|F3B2EAAE|1/10/2023|2751|||1980|Accepted|1/10/2023
Y11345711|###############################################################################################################################################################################################################################################################|Facile|EGFA9AA8|1/11/2023|3564.15|||1980|Accepted|1/10/2023
Y11348051|###############################################################################################################################################################################################################################################################|Facile|B7UGBAAA|1/12/2023|3414.85|||8508|Accepted|1/10/2023
Y11365551|###############################################################################################################################################################################################################################################################|Facile|G4LE3AA2|1/11/2023|1499|||32218|Accepted|1/11/2023
Y11396721|###############################################################################################################################################################################################################################################################|Facile|BASZPAAP|1/12/2023|1299|||32218|Accepted|1/12/2023
Y11397131|###############################################################################################################################################################################################################################################################|Facile|H018F777|1/12/2023|2531.07|||12726|Accepted|1/12/2023
Y11400010|###############################################################################################################################################################################################################################################################|365.00|EEU18AA8|1/12/2023|5165.9|||3537|Accepted|1/12/2023
Y11456231|###############################################################################################################################################################################################################################################################|Facile|BSN8XAAX|1/14/2023|1757.4|||2100|Accepted|1/14/2023
Y05662172||Facile|H04MDJAH|3/23/2022|429|||992|Scatto Bloccato|1/22/2023
Y05619222||Facile|DE0XPAAP|3/23/2022|349|||992|Scatto Bloccato|1/22/2023
Y05622442||Facile|H06L15VV|3/23/2022|599|||992|Scatto Bloccato|1/22/2023
Y05627212||Facile|E5W8EAAE|3/23/2022|1624|||992|Scatto Bloccato|1/22/2023
Y05615022||Facile|E7TYPAAP|3/23/2022|599|||992|Scatto Bloccato|1/22/2023
Y05620712||Facile|ETWD8AA7|3/23/2022|802.45|||992|Scatto Bloccato|1/22/2023
Y05366362||Facile|H0061WNN|3/23/2022|2277|||992|Scatto Bloccato|1/22/2023
Y05602082||Facile|F7A0JAAJ|3/23/2022|878|||992|Scatto Bloccato|1/22/2023
Y05615542||Facile|F1V5NAAN|3/23/2022|1048|||992|Scatto Bloccato|1/22/2023
Y05617212||Facile|H03RNB0Z|3/23/2022|748|||992|Scatto Bloccato|1/22/2023
Y05619952||Facile|H01K8GDB|3/23/2022|1996|||992|Scatto Bloccato|1/22/2023
Y05617012||Facile|H01KKAED|3/23/2022|1413|||992|Scatto Bloccato|1/22/2023
Y05616452||Facile|GND1FAAF|3/23/2022|898|||992|Scatto Bloccato|1/22/2023
Y05618262||Facile|GEUP2AA1|3/23/2022|599|||992|Scatto Bloccato|1/22/2023
Y05593432||Facile|E13UUAAU|3/23/2022|898|||992|Scatto Bloccato|1/22/2023
Y05648722||Facile|GXANAAAM|3/23/2022|1647|||992|Scatto Bloccato|1/22/2023
Y05615862||Facile|BYNFWAAV|3/23/2022|349|||992|Scatto Bloccato|1/22/2023
Y05600052||Facile|BT64UAAU|3/23/2022|748|||992|Scatto Bloccato|1/22/2023
Y05630932||Facile|EZGZWAAW|3/23/2022|748|||992|Scatto Bloccato|1/22/2023
Y05615222||Facile|FUTANAAM|3/23/2022|399|||992|Scatto Bloccato|1/22/2023
Y05618602||Facile|E8A66AA6|3/23/2022|429|||992|Scatto Bloccato|1/22/2023
Y05614862||Facile|H06XZ4ZZ|3/23/2022|479|||992|Scatto Bloccato|1/22/2023
Y05617742||Facile|H06EG1UU|3/23/2022|599|||992|Scatto Bloccato|1/22/2023
Y05521612||Facile|AVA8TAAT|3/23/2022|2277|||992|Scatto Bloccato|1/22/2023
Y05618502||Facile|DBTB3AA2|3/23/2022|1832|||992|Scatto Bloccato|1/22/2023
Y05618012||Facile|DLX09AA9|3/23/2022|948|||992|Scatto Bloccato|1/22/2023
Y05515572||Facile|DE6EBAAA|3/23/2022|2676|||992|Scatto Bloccato|1/22/2023
Y05617192||Facile|ANLMZAAY|3/23/2022|1048|||992|Scatto Bloccato|1/22/2023
Y05620102||Facile|FDYP2AA1|3/23/2022|199|||992|Scatto Bloccato|1/22/2023
Y05616972||Facile|AJL7EAAE|3/23/2022|1319|||992|Scatto Bloccato|1/22/2023
Y05619382||Facile|GVBXDAAD|3/23/2022|2073|||992|Scatto Bloccato|1/22/2023
Y05616442||Facile|AMTRMAAL|3/23/2022|2093|||992|Scatto Bloccato|1/22/2023
Y05614882||Facile|EKZ4YAAY|3/23/2022|698|||992|Scatto Bloccato|1/22/2023
Y05618912||Facile|H02DHZVV|3/23/2022|564|||992|Scatto Bloccato|1/22/2023
Y05623552||Facile|DVFG1AA0|3/23/2022|349|||992|Scatto Bloccato|1/22/2023
Y05625732||Facile|D334VAAV|3/23/2022|599|||992|Scatto Bloccato|1/22/2023
Y05616822||Facile|AS818AA8|3/23/2022|798|||992|Scatto Bloccato|1/22/2023
Y05601082||Facile|H0146JXW|3/23/2022|1598|||992|Scatto Bloccato|1/22/2023
Y05656622||Facile|H05VLTHG|3/23/2022|629|||992|Scatto Bloccato|1/22/2023
Y05646522||Facile|B1UKMAAL|3/23/2022|2098|||992|Scatto Bloccato|1/22/2023
Y05615332||Facile|AT8H0AAZ|3/23/2022|599|||992|Scatto Bloccato|1/22/2023
Y05617222||Facile|AM8V0AA0|3/23/2022|897|||992|Scatto Bloccato|1/22/2023
Y05619372||Facile|E83E9AA8|3/23/2022|1149|||992|Scatto Bloccato|1/22/2023
Y05620062||Facile|H04DFKWV|3/23/2022|377|||992|Scatto Bloccato|1/22/2023
Y05593202||Facile|H02N14PP|3/23/2022|1397|||992|Scatto Bloccato|1/22/2023
Y05630832||Facile|DZB9RAAR|3/23/2022|719|||992|Scatto Bloccato|1/22/2023
Y05618662||Facile|H01B20TT|3/23/2022|1277|||992|Scatto Bloccato|1/22/2023
Y05615902||Facile|DUHMBAAA|3/23/2022|599|||992|Scatto Bloccato|1/22/2023
Y05630612||Facile|A2RGNAAM|3/23/2022|299|||992|Scatto Bloccato|1/22/2023
Y05185642||Facile|E8BLTAAS|3/23/2022|2713|||992|Scatto Bloccato|1/22/2023
Y05619342||Facile|FXEH8AA7|3/23/2022|2396|||992|Scatto Bloccato|1/22/2023
Y05665112||Facile|H021XATS|3/23/2022|599|||992|Scatto Bloccato|1/22/2023
Y05621142||Facile|BWFN0AAZ|3/23/2022|3648|||992|Scatto Bloccato|1/22/2023
Y05622232||Facile|DJN82AA2|3/23/2022|599|||992|Scatto Bloccato|1/22/2023
Y05617852||Facile|AD8G2AA1|3/23/2022|399|||992|Scatto Bloccato|1/22/2023
Y05630452||Facile|DGN5GAAG|3/23/2022|699|||992|Scatto Bloccato|1/22/2023
Y05645892||Facile|AEEWXAAX|3/23/2022|698|||992|Scatto Bloccato|1/22/2023
Y05619682||Facile|DL68TAAT|3/23/2022|599|||992|Scatto Bloccato|1/22/2023
Y05548622||Facile|FHG9VAAV|3/23/2022|998|||992|Scatto Bloccato|1/22/2023
Y05625792||Facile|E9A9GAAG|3/23/2022|429|||992|Scatto Bloccato|1/22/2023
Y05615502||Facile|GHUSTAAS|3/23/2022|199|||992|Scatto Bloccato|1/22/2023
Y05628942||Facile|ARSLYAAX|3/23/2022|1238|||992|Scatto Bloccato|1/22/2023
Y05615572||Facile|H021JUMM|3/23/2022|1198|||992|Scatto Bloccato|1/22/2023
Y05620352||Facile|BTHPKAAJ|3/23/2022|1348|||992|Scatto Bloccato|1/22/2023
Y05619312||Facile|B0163AA3|3/23/2022|798|||992|Scatto Bloccato|1/22/2023
Y05619632||Facile|H02MGVUU|3/23/2022|499|||992|Scatto Bloccato|1/22/2023
Y05633122||Facile|H01ZZ2RR|3/23/2022|499|||992|Scatto Bloccato|1/22/2023
Y05619192||Facile|DESGVAAU|3/23/2022|399|||992|Scatto Bloccato|1/22/2023
Y05391062||Facile|DP6G0AAZ|3/23/2022|1597|||992|Scatto Bloccato|1/22/2023
Y05618882||Facile|G0TXKAAK|3/23/2022|998|||992|Scatto Bloccato|1/22/2023
Y05592962||Facile|BBFKZAAY|3/23/2022|529|||992|Scatto Bloccato|1/22/2023
Y05618142||Facile|B83TTAAT|3/23/2022|349|||992|Scatto Bloccato|1/22/2023
Y05621722||Facile|H01V8655|3/23/2022|924|||992|Scatto Bloccato|1/22/2023
Y05621882||Facile|E8KGZAAY|3/23/2022|629|||992|Scatto Bloccato|1/22/2023
Y05623102||Facile|B3EESAAR|3/23/2022|347|||992|Scatto Bloccato|1/22/2023
Y05495402||Facile|GKEUUAAU|3/23/2022|599|||992|Scatto Bloccato|1/22/2023
Y05648662||Facile|B50W1AA1|3/23/2022|629|||992|Scatto Bloccato|1/22/2023
Y05646582||Facile|FJUY2AA2|3/23/2022|349|||992|Scatto Bloccato|1/22/2023
Y05618652||Facile|H051LL10|3/23/2022|1693|||992|Scatto Bloccato|1/22/2023
Y05618952||Facile|F1UEWAAV|3/23/2022|599|||992|Scatto Bloccato|1/22/2023
Y05454102||Facile|A46YZAAZ|3/23/2022|1627.98|||12715|Scatto Bloccato|11/23/2022
Y05622242||Facile|H06607A7|3/23/2022|2598|||60854|Scatto Bloccato|11/23/2022
Y05592132||Facile|EVMBLAAK|3/23/2022|499|||9274|Scatto Bloccato|11/23/2022
Y05593492||Facile|H07H8WHH|3/24/2022|948|||991|Scatto Bloccato|11/23/2022
Y05545312||Facile|B2RYBAAB|3/23/2022|1747|||12804|Scatto Bloccato|11/23/2022
Y05615452||Facile|H048HR87|3/23/2022|748|||11141|Scatto Bloccato|11/23/2022
Y05500132||Facile|FJZHJAAH|3/23/2022|499|||9545|In attesa scatto|11/23/2022
Y05576492||Facile|H051MA65|3/23/2022|599|||12248|Scatto Bloccato|11/23/2022
Y05598482||Facile|H01MX5GG|3/23/2022|599|||56138|Scatto Bloccato|11/23/2022
Y04758582||Facile|F6E97AA7|3/23/2022|599|||8936|Scatto Bloccato|11/23/2022
Y05356222||Facile|H062RLPN|3/23/2022|2497|||12673|Scatto Bloccato|11/23/2022
Y05614352||Facile|H07H8Y77|3/23/2022|948|||6282|Scatto Bloccato|11/23/2022
Y05617172||Facile|H02M4NED|3/23/2022|948|||10490|Scatto Bloccato|11/23/2022
Y05614172||Facile|H059FBTS|3/23/2022|599|||12353|Scatto Bloccato|11/23/2022
Y05621092||Facile|H01H0011|3/23/2022|1198|||11540|Scatto Bloccato|11/23/2022
Y05633402||Facile|A0TNGAAF|3/23/2022|599|||9002|Scatto Bloccato|11/23/2022
Y05008982||Facile|FAS9AAA8|3/23/2022|3452|||12447|Scatto Bloccato|11/23/2022
Y05476212||Facile|B5EEAAAD|3/23/2022|2194|||8523|In attesa scatto|11/23/2022
Y05621532||Facile|H07H6E21|3/23/2022|1198|||2100|Scatto Bloccato|11/23/2022
Y05630062||Facile|H063ULGF|3/23/2022|948|||12726|Scatto Bloccato|11/23/2022
Y05596432||Facile|GNDDPAAN|3/24/2022|974.95|||8135|In attesa scatto|11/24/2022
Y05668142||Facile|G01DLAAK|3/24/2022|2398|||12338|Scatto Bloccato|11/24/2022
Y05651632||Facile|H07DZ3HH|3/24/2022|625.95|||2175|Scatto Bloccato|11/24/2022
Y05655852||Facile|H02GEMXW|3/24/2022|814|||11847|Scatto Bloccato|11/24/2022
Y05515012||Facile|H04488BB|3/24/2022|1339.6|||12173|In attesa scatto|11/24/2022
Y05517712||Facile|H04488BB|3/24/2022|1359.6|||12173|Scatto Bloccato|11/24/2022
Y05461742||Facile|H049TKAK|3/24/2022|1228|||10807|Scatto Bloccato|11/24/2022
Y05664132||Facile|DM0W9AA9|3/24/2022|1628|||12214|Scatto Bloccato|11/24/2022
Y05618972||Facile|H07FU4BB|3/24/2022|599|||10163|Scatto Bloccato|11/24/2022
Y05669202||Facile|H020TZ66|3/24/2022|1216|||4868|Scatto Bloccato|11/24/2022
Y05576802||Facile|H06RYRNM|3/24/2022|948|||12054|Scatto Bloccato|11/24/2022
Y05655652||Facile|H07GSAXW|3/24/2022|948|||12595|Scatto Bloccato|11/24/2022
Y05663042||Facile|H02HBWHH|3/24/2022|3946|||6846|In attesa scatto|11/24/2022
Y05630282||Facile|H07H80ZZ|3/24/2022|7447|||12520|Scatto Bloccato|11/24/2022
Y05668282||Facile|H07H61EE|3/24/2022|948|||2424|Scatto Bloccato|11/24/2022
Y05630052||Facile|H01KF1PP|3/24/2022|652.9|||2102|Scatto Bloccato|11/24/2022
Y05659142||Facile|BJ4R8AA7|3/24/2022|625.95|||12003|Scatto Bloccato|11/24/2022
Y05581002||Facile|H07H8TSS|3/24/2022|1659|||1088|Scatto Bloccato|11/24/2022
Y05517092||Facile|H04488BB|3/24/2022|1239.6|||12173|Scatto Bloccato|11/24/2022
Y05529092||Facile|AZD0TAAT|3/24/2022|707.9|||1642|Scatto Bloccato|11/24/2022
Y05651642||Facile|H06WUWHH|3/24/2022|1598|||11881|Scatto Bloccato|11/24/2022
Y05360452||Facile|G2J8AAA7|3/24/2022|2198|||12803|In attesa scatto|11/24/2022
Y05666432||Facile|H02GHJ54|3/24/2022|599|||2100|In attesa scatto|11/24/2022
Y05667782||Facile|H02JSJBA|3/24/2022|1198|||8840|Scatto Bloccato|11/24/2022
Y05503382||Facile|H06HNFUT|3/24/2022|1847|||10846|Scatto Bloccato|11/24/2022
Y05662452||Facile|H06TXPRP|3/24/2022|948|||3860|Scatto Bloccato|11/24/2022
Y05622552||Facile|H0048TYY|3/24/2022|625.95|||10645|Scatto Bloccato|11/24/2022
Y05326452||Facile|H07B3M76|3/24/2022|1198|||10086|In attesa scatto|11/24/2022
Y05622272||Facile|H07AS1JJ|3/24/2022|1802|||10369|In attesa scatto|11/24/2022
Y05598842||Facile|FXKTNAAM|3/24/2022|1598|||4405|Scatto Bloccato|11/24/2022
Y05618462||Facile|H0138733|3/24/2022|599|||11715|Scatto Bloccato|11/24/2022
Y05154142||Facile|DHSMYAAX|3/24/2022|599|||7252|Scatto Bloccato|11/24/2022
Y05574002||Facile|EY6RAAAR|3/24/2022|1098|||9359|Scatto Bloccato|11/24/2022
Y05662182||Facile|FTFP6AA5|3/24/2022|3423.95|||12810|Scatto Bloccato|11/24/2022
Y05581382||Facile|AZ4L7AA6|3/24/2022|3227|||3527|Scatto Bloccato|11/24/2022
Y05000362||Facile|H004XNRP|3/28/2022|1251.9|||4452|Scatto Bloccato|11/24/2022
Y04294932||Facile|H02GT3RR|1/24/2022|698|||30250|Scatto Bloccato|11/25/2022
Y04002292||Facile|ASFWBAAB|1/24/2022|1097|||32218|Scatto Bloccato|11/25/2022
Y04291112||Facile|H009PFXW|1/24/2022|598|||992|Scatto Bloccato|11/25/2022
Y04296572||Facile|H06S2JZY|1/24/2022|349|||992|Scatto Bloccato|11/25/2022
Y04299802||Facile|H063NK43|1/24/2022|399|||31619|Scatto Bloccato|11/25/2022
Y05656952||Facile|H02165NN|3/25/2022|599|||12520|Scatto Bloccato|11/25/2022
Y05495972||Facile|DX91NAAN|3/25/2022|1784.85|||8840|Scatto Bloccato|11/25/2022
Y05691142||Facile|A6TXNAAN|3/25/2022|1529|||5238|Scatto Bloccato|11/25/2022
Y04755472||Facile|H058VXJJ|3/25/2022|2504.9|||9949|Scatto Bloccato|11/25/2022
Y05713682||Facile|H01DE7EE|3/25/2022|599|||1300|Scatto Bloccato|11/25/2022
Y05446512||Facile|H02DZ077|3/25/2022|599|||12152|Scatto Bloccato|11/25/2022
Y04885722||Facile|BAUMUAAT|3/25/2022|1224.95|||11084|Scatto Bloccato|11/25/2022
Y05713672||Facile|H05T5X77|3/25/2022|499|||11157|Scatto Bloccato|11/25/2022
Y05543132||Facile|H06B2BED|3/25/2022|1198|||9370|In attesa scatto|11/25/2022
Y05621892||Facile|BYM8TAAT|3/25/2022|948|||9545|Scatto Bloccato|11/25/2022
Y05710402||Facile|H02X68NN|3/25/2022|2047|||12466|Scatto Bloccato|11/25/2022
Y05451842||Facile|H0110X22|3/25/2022|5748|||3860|Scatto Bloccato|11/25/2022
Y05619452||Facile|H07H8YUU|3/25/2022|3046|||11876|Scatto Bloccato|11/25/2022
Y05618692||Facile|H07H80BB|3/25/2022|1098|||9149|Scatto Bloccato|11/25/2022
Y05691442||Facile|DYMSBAAA|3/28/2022|2747|||2041|Scatto Bloccato|11/25/2022
Y05695282||Facile|H06D2RKJ|3/25/2022|948|||12659|Scatto Bloccato|11/25/2022
Y05619252||Facile|DB0AZAAY|3/25/2022|699|||8191|Scatto Bloccato|11/25/2022
Y05701592||Facile|H02XSZAY|3/25/2022|599|||9274|Scatto Bloccato|11/25/2022
Y05691092||Facile|EZ4RWAAV|3/25/2022|599|||9346|Scatto Bloccato|11/25/2022
Y05708932||Facile|H07JHZUU|3/25/2022|948|||11304|In attesa scatto|11/25/2022
Y05452642||Facile|BVMKXAAW|3/25/2022|1198|||12011|In attesa scatto|11/25/2022
Y05699012||Facile|DEJPAAAN|3/25/2022|1098|||2042|Scatto Bloccato|11/25/2022
Y05476292||Facile|H066RW22|3/28/2022|948|||3693|Scatto Bloccato|11/25/2022
Y05669862||Facile|ABSZDAAD|3/25/2022|2737|||12273|Scatto Bloccato|11/25/2022
Y05646222||Facile|A5LWDAAD|3/25/2022|1571|||9008|Scatto Bloccato|11/25/2022
Y05676072||Facile|H06LU9TT|3/25/2022|599|||12440|Scatto Bloccato|11/25/2022
Y05573752||Facile|BWYXGAAG|3/25/2022|1341.6|||6610|Scatto Bloccato|11/25/2022
Y05502742||Facile|H06P6W88|3/25/2022|1198|||12261|Scatto Bloccato|11/25/2022
Y05414112||Facile|ETGL1AA0|3/25/2022|2098|||6517|Scatto Bloccato|11/25/2022
Y05206402||Facile|FWX3PAAP|3/25/2022|15345.4|||1626|Scatto Bloccato|11/25/2022
Y04414092||Facile|H055S8VV|1/25/2022|549|||30250|Scatto Bloccato|11/26/2022
Y04316772||Facile|H062AGVU|1/25/2022|349|||30110|Scatto Bloccato|11/26/2022
Y05728462||Facile|H07JK6A5|3/26/2022|948|||56165|Scatto Bloccato|11/26/2022
Y05728812||Facile|H0451L21|3/26/2022|948|||6846|Scatto Bloccato|11/26/2022
Y05728622||Facile|H07JK0PP|3/26/2022|948|||1088|Scatto Bloccato|11/26/2022
Y05701912||Facile|H02A8BUT|3/26/2022|948|||2505|Scatto Bloccato|11/26/2022
Y05729092||Facile|H07H3UPP|3/26/2022|948|||12513|Scatto Bloccato|11/26/2022
Y05729522||Facile|H0679UBB|3/26/2022|629|||2826|Scatto Bloccato|11/26/2022
Y05501822||Facile|H07H8G65|3/26/2022|1198|||11958|Scatto Bloccato|11/26/2022
Y05366392||Facile|DA2RFAAE|3/26/2022|999|||12054|Scatto Bloccato|11/26/2022
Y05728722||Facile|H06ZWHML|3/28/2022|3926|||9393|In attesa scatto|11/26/2022
Y05630372||Facile|DBM86AA6|3/28/2022|652.9|||10097|Scatto Bloccato|11/28/2022
Y05526162||Facile|H05DJ277|3/28/2022|948|||7339|In attesa scatto|11/28/2022
Y05037732||Facile|FTSX0AA0|3/28/2022|675|||12338|Scatto Bloccato|11/28/2022
Y05747202||Facile|FGTLFAAE|3/28/2022|2311.35|||4607|Scatto Bloccato|11/28/2022
Y05695592||Facile|E5F3BAAB|3/28/2022|3722|||12120|In attesa scatto|11/28/2022
Y05711132||Facile|H069VMNM|3/28/2022|599|||11715|Scatto Bloccato|11/28/2022
Y04659662||Facile|H06836ZZ|3/28/2022|599|||7290|Scatto Bloccato|11/28/2022
