contratto_cod|codice_ordine_sap|tipo_contratto|codice_opec|data_firma|net_amount|causale_annullamento|data_annullamento|codice_agente|status_quote|creazione_dta
Y05763942||Facile|G1SGKAAJ|3/29/2022|648|||2051|Scatto Bloccato|11/29/2022
Y05768952||Facile|H017NNLK|3/29/2022|599|||60871|Scatto Bloccato|11/29/2022
Y05653992||Facile|DJF1MAAM|4/7/2022|1649|||7849|In attesa scatto|11/29/2022
Y05767402||Facile|H02V9AFE|3/29/2022|629|||9569|Scatto Bloccato|11/29/2022
Y05769892||Facile|H07JMFED|3/29/2022|625.95|||8294|In attesa scatto|11/29/2022
Y04362552||Facile|H067YA0Z|3/31/2022|599|||12856|Scatto Bloccato|11/29/2022
Y05766452||Facile|FJ58LAAL|3/29/2022|948|||12594|Scatto Bloccato|11/29/2022
Y05750092||Facile|FWFR5AA4|3/29/2022|799|||12353|Scatto Bloccato|11/29/2022
Y05242362||Facile|DY4RBAAA|3/30/2022|7530.9|||12630|Scatto Bloccato|11/29/2022
Y05633342||Facile|BXH22AA2|3/30/2022|599|||9149|Scatto Bloccato|11/30/2022
Y05583772||Facile|H07H8XZZ|3/30/2022|1029.4|||2175|In attesa scatto|11/30/2022
Y05746692||Facile|BT924AA4|3/30/2022|2600.9|||10565|Scatto Bloccato|11/30/2022
Y05789682||Facile|BUHBYAAX|3/30/2022|2223.95|||9978|Scatto Bloccato|11/30/2022
Y05787672||Facile|H04SLTHG|3/30/2022|3822|||10089|Scatto Bloccato|11/30/2022
Y05669532||Facile|H07JE4GG|3/30/2022|599|||12656|Scatto Bloccato|11/30/2022
Y05785472||Facile|H022A2KK|3/30/2022|599|||2100|Scatto Bloccato|11/30/2022
Y05645832||Facile|BVGYEAAE|3/30/2022|978|||9370|Scatto Bloccato|11/30/2022
Y05241712||Facile|DHK6DAAD|3/30/2022|3997|||12492|Scatto Bloccato|11/30/2022
Y05791222||Facile|ASPTVAAU|3/30/2022|2230.9|||4615|Scatto Bloccato|11/30/2022
Y05789592||Facile|FYULFAAE|3/30/2022|599|||12346|Scatto Bloccato|11/30/2022
Y05793512||Facile|H0641588|3/30/2022|599|||12706|In attesa scatto|11/30/2022
Y03488282||Facile|H07GVPXW|3/30/2022|599|||12546|Scatto Bloccato|11/30/2022
Y05792892||Facile|H037BRWV|3/30/2022|599|||60861|In attesa scatto|11/30/2022
Y05787642||Facile|H07JMPXW|3/30/2022|599|||1121|Scatto Bloccato|11/30/2022
Y05789702||Facile|H07JMP43|3/30/2022|599|||1300|Scatto Bloccato|11/30/2022
Y05795112||Facile|H02XVJAJ|3/30/2022|599|||1300|Scatto Bloccato|11/30/2022
Y05793252||Facile|A10JWAAV|3/30/2022|599|||12545|In attesa scatto|11/30/2022
Y05795142||Facile|DKD4HAAH|3/30/2022|599|||11973|Scatto Bloccato|11/30/2022
Y05728592||Facile|FBSGAAAF|3/30/2022|948|||11626|Scatto Bloccato|11/30/2022
Y05695302||Facile|GU7KAAAK|3/30/2022|1198|||12089|Scatto Bloccato|11/30/2022
Y05736172||Facile|H050WA0Z|3/30/2022|1024|||4868|Scatto Bloccato|11/30/2022
Y05499882||Facile|B77L0AAZ|3/31/2022|1247|||11876|Scatto Bloccato|11/30/2022
Y05786922||Facile|H03N9Y00|3/30/2022|948|||12229|Scatto Bloccato|11/30/2022
Y05577512||Facile|BALRAAAP|3/30/2022|1839.95|||47038|In attesa scatto|11/30/2022
Y05714572||Facile|H06YTW11|3/30/2022|599|||60861|Scatto Bloccato|11/30/2022
Y05740952||Facile|DM9P4AA3|3/30/2022|1489|||12371|Scatto Bloccato|11/30/2022
Y05792902||Facile|H0555455|3/30/2022|599|||12936|Scatto Bloccato|11/30/2022
Y05420532||Facile|H0576JFE|3/30/2022|5397|||12804|Scatto Bloccato|11/30/2022
Y05794912||Facile|H021MSPN|3/30/2022|629|||60848|Scatto Bloccato|11/30/2022
Y05785772||Facile|H07JL4BB|3/30/2022|599|||9989|Scatto Bloccato|11/30/2022
Y05765202||Facile|H067MN32|3/30/2022|625.95|||12545|Scatto Bloccato|11/30/2022
Y05787692||Facile|H07H79TT|3/30/2022|599|||11655|Scatto Bloccato|11/30/2022
Y05793282||Facile|H0009JDB|3/30/2022|948|||12607|In attesa scatto|11/30/2022
Y10705451|3014415587|Facile|FFDLHAAG|12/23/2022|1150.04|||11146|Accepted|11/30/2022
Y05736612||Facile|A0MSFAAE|4/7/2022|2148|||7849|Scatto Bloccato|12/1/2022
Y05740142||Facile|H06PW3LL|3/31/2022|599|||7699|Scatto Bloccato|12/1/2022
Y05811202||Facile|EV7SRAAP|3/31/2022|948|||12109|In attesa scatto|12/1/2022
Y05793892||Facile|B3Z14AA4|3/31/2022|928|||6282|Scatto Bloccato|12/1/2022
Y05810562||Facile|ALYLUAAT|3/31/2022|1681.9|||12611|Scatto Bloccato|12/1/2022
Y05793582||Facile|H01XKV88|3/31/2022|599|||60861|Scatto Bloccato|12/1/2022
Y05782782||Facile|GXE52AA2|3/31/2022|1248|||11429|Scatto Bloccato|12/1/2022
Y04698262||Facile|H04Z0Y33|3/31/2022|629|||60869|In attesa scatto|12/1/2022
Y05795572||Facile|H07JE311|3/31/2022|3248|||12134|Scatto Bloccato|12/1/2022
Y05792422||Facile|H06TRJ76|3/31/2022|599|||12102|Scatto Bloccato|12/1/2022
Y05744202||Facile|H01XAMLK|3/31/2022|629|||8100|Scatto Bloccato|12/1/2022
Y05812702||Facile|H061DSJH|3/31/2022|648|||2051|Scatto Bloccato|12/1/2022
Y03691332||Facile|H07H3UMM|3/31/2022|2097|||12729|Scatto Bloccato|12/1/2022
Y05767752||Facile|GTNHTAAS|3/31/2022|948|||2100|Scatto Bloccato|12/1/2022
Y05814622||Facile|A3D16AA6|3/31/2022|948|||6559|Scatto Bloccato|12/1/2022
Y05793662||Facile|H02HTKYX|3/31/2022|599|||10807|In attesa scatto|12/1/2022
Y05625762||Facile|BEPMLAB9|3/31/2022|3397|||11955|Scatto Bloccato|12/1/2022
Y05657142||Facile|H05L0J10|3/31/2022|1248|||12821|Scatto Bloccato|12/1/2022
Y05820852||Facile|H040Y022|3/31/2022|599|||60866|Scatto Bloccato|12/1/2022
Y05750102||Facile|G0N9YAAY|3/31/2022|625.95|||2608|Scatto Bloccato|12/1/2022
Y05813952||Facile|H07JMZ11|3/31/2022|1198|||3435|Scatto Bloccato|12/1/2022
Y05816912||Facile|H07JMZ44|3/31/2022|948|||8135|Scatto Bloccato|12/1/2022
Y05817392||Facile|H02PPXKK|3/31/2022|1198|||11621|In attesa scatto|12/1/2022
Y05818162||Facile|H07JM0BB|3/31/2022|648|||2051|Scatto Bloccato|12/1/2022
Y05819832||Facile|H059WAJH|3/31/2022|1348|||12503|Scatto Bloccato|12/1/2022
Y05762612||Facile|F6T51AA1|3/31/2022|625.95|||10645|Scatto Bloccato|12/1/2022
Y05821742||Facile|A7EYUAAU|3/31/2022|599|||12499|Scatto Bloccato|12/1/2022
Y05821632||Facile|E7W0WAAW|4/1/2022|599|||9393|Scatto Bloccato|12/1/2022
Y05793422||Facile|H07JMRKJ|3/31/2022|1658|||9256|Scatto Bloccato|12/1/2022
Y05746772||Facile|H04290WW|3/31/2022|799|||10794|Scatto Bloccato|12/1/2022
Y05818752||Facile|GLEUZAAZ|3/31/2022|4947|||6685|Scatto Bloccato|12/1/2022
Y05819602||Facile|H016UGAG|3/31/2022|652.9|||10097|Scatto Bloccato|12/1/2022
Y05822022||Facile|H011E8UU|3/31/2022|599|||12155|Scatto Bloccato|12/1/2022
Y05619892||Facile|H07H8XVV|3/31/2022|999|||4607|Scatto Bloccato|12/1/2022
Y05794212||Facile|H068FFBA|3/31/2022|599|||12720|In attesa scatto|12/1/2022
Y05527232||Facile|BM43JAAJ|3/31/2022|599|||12120|Scatto Bloccato|12/1/2022
Y05814852||Facile|H04PU4MM|3/31/2022|599|||56206|Scatto Bloccato|12/1/2022
Y05820182||Facile|H011VM65|3/31/2022|290|||6444|Scatto Bloccato|12/1/2022
Y05819192||Facile|DH0XGAAG|3/31/2022|948|||12910|Scatto Bloccato|12/1/2022
Y05819382||Facile|H03YS188|3/31/2022|1198|||11941|In attesa scatto|12/1/2022
Y05821732||Facile|H065RW99|3/31/2022|1198|||12498|Scatto Bloccato|12/1/2022
Y04653302||Facile|DZDW1AA1|3/31/2022|599|||12913|In attesa scatto|12/1/2022
Y05815232||Facile|H07AKDFE|3/31/2022|1448|||12510|Scatto Bloccato|12/1/2022
Y05617032||Facile|H019G6ZZ|3/31/2022|2017|||2721|Scatto Bloccato|12/1/2022
Y05809602||Facile|H04797PP|3/31/2022|599|||10807|Scatto Bloccato|12/1/2022
Y05793332||Facile|EG4TDAAD|3/31/2022|629|||9346|Scatto Bloccato|12/1/2022
Y05815652||Facile|H07JMZZZ|3/31/2022|1224.95|||2051|Scatto Bloccato|12/1/2022
Y05816782||Facile|H061NEZY|3/31/2022|1198|||12803|Scatto Bloccato|12/1/2022
Y05820422||Facile|H07JM0JJ|3/31/2022|1198|||3435|Scatto Bloccato|12/1/2022
Y05820652||Facile|ASKL5AA4|3/31/2022|599|||3435|Scatto Bloccato|12/1/2022
Y05821992||Facile|H07DWVMM|3/31/2022|599|||12513|Scatto Bloccato|12/1/2022
Y05815442||Facile|H0119977|3/31/2022|599|||11491|Scatto Bloccato|12/1/2022
Y05817302||Facile|H07JMZ55|3/31/2022|1327|||12510|Scatto Bloccato|12/1/2022
Y05764962||Facile|AHSEBAAA|3/31/2022|978|||12131|In attesa scatto|12/1/2022
Y05793982||Facile|A20GVAAU|3/31/2022|3846|||9346|Scatto Bloccato|12/1/2022
Y05814242||Facile|H01SJX22|3/31/2022|844|||4635|Scatto Bloccato|12/1/2022
Y05819002||Facile|H01LEJVU|3/31/2022|4545|||2620|Scatto Bloccato|12/1/2022
Y05819292||Facile|FJJX5AA5|3/31/2022|599|||8404|Scatto Bloccato|12/1/2022
Y05820092||Facile|H02ZF2PP|3/31/2022|599|||12452|Scatto Bloccato|12/1/2022
Y05819892||Facile|D9SR7AA6|3/31/2022|629|||9346|Scatto Bloccato|12/1/2022
Y05810992||Facile|H07JMZTT|3/31/2022|3398|||12131|Scatto Bloccato|12/1/2022
Y05804812||Facile|DR7UPAAP|3/31/2022|4028.4|||12173|In attesa scatto|12/1/2022
Y05816702||Facile|H02BL9PP|3/31/2022|599|||60848|Scatto Bloccato|12/1/2022
Y05277472||Facile|H01DDZYY|3/31/2022|599|||12229|In attesa scatto|12/1/2022
Y05820272||Facile|GJGP6AA5|3/31/2022|1198|||12109|Scatto Bloccato|12/1/2022
Y05821272||Facile|H06VL977|3/31/2022|2597|||12498|Scatto Bloccato|12/1/2022
Y04701602||Facile|H06UPAED|3/31/2022|1198|||12052|Scatto Bloccato|12/1/2022
Y05820962||Facile|H07JM0LL|3/31/2022|599|||6610|In attesa scatto|12/1/2022
Y05827522||Facile|H05TG1UU|3/31/2022|948|||60810|Scatto Bloccato|12/1/2022
Y05809752||Facile|H01T4700|3/31/2022|599|||10807|Scatto Bloccato|12/1/2022
Y05812542||Facile|H06SZF65|3/31/2022|2247|||11621|Scatto Bloccato|12/1/2022
Y05816302||Facile|DLHHFAAE|3/31/2022|599|||56138|Scatto Bloccato|12/1/2022
Y05812202||Facile|H06R5UWW|3/31/2022|599|||2100|Scatto Bloccato|12/1/2022
Y05817952||Facile|H015LW66|3/31/2022|599|||8404|Scatto Bloccato|12/1/2022
Y05819712||Facile|H06WKHUT|3/31/2022|948|||6846|Scatto Bloccato|12/1/2022
Y05633582||Facile|DADV6AA6|3/31/2022|864|||12895|Scatto Bloccato|12/1/2022
Y05809812||Facile|BRM4HAAH|3/31/2022|948|||11941|Scatto Bloccato|12/1/2022
Y05821242||Facile|H06DPPSR|3/31/2022|599|||12499|Scatto Bloccato|12/1/2022
Y05089382||Facile|F9AHAAAG|3/31/2022|824|||2577|Scatto Bloccato|12/1/2022
Y05499652||Facile|H02Y7FML|3/31/2022|1198|||12214|In attesa scatto|12/1/2022
Y05813892||Facile|H03RDNLK|3/31/2022|1247|||7339|In attesa scatto|12/1/2022
Y05816622||Facile|H0668K54|3/31/2022|599|706|4/19/2022|12241|Scatto Bloccato|12/1/2022
Y05330272||Facile|GA2J9AA8|3/31/2022|1232.3|||3469|Scatto Bloccato|12/1/2022
Y05819432||Facile|H014RAML|3/31/2022|2918|||10086|Scatto Bloccato|12/1/2022
Y05821382||Facile|H04F6WUU|3/31/2022|948|||12727|Scatto Bloccato|12/1/2022
Y05787052||Facile|GGH5SAAS|4/6/2022|1198|||6610|Scatto Bloccato|12/1/2022
Y05656572||Facile|H07BUSPN|3/31/2022|7247|||11429|Scatto Bloccato|12/1/2022
Y04735842||Facile|DHJWTAAT|4/1/2022|1004|||12989|Scatto Bloccato|12/2/2022
Y05412852||Facile|ED5A0AAZ|4/1/2022|999|||12150|Scatto Bloccato|12/2/2022
Y05745562||Facile|GLTF9AA8|4/7/2022|1198|||12236|Scatto Bloccato|12/2/2022
Y05745702||Facile|DGMNDAAB|4/7/2022|1748|||12236|Scatto Bloccato|12/2/2022
Y03324522||Facile|H05PLE32|11/25/2021|249|||991|Scatto Bloccato|12/5/2022
Y10844381|3014415337|Facile|H02B5HED|12/22/2022|849.7|||5300|Accepted|12/7/2022
Y10967841|3014413725|Facile|DR7A9AA8|12/20/2022|758.4|||12513|Accepted|12/14/2022
Y11107151|3014418519|Facile|H05H1HSR|1/9/2023|1528.3|||13003|Accepted|12/21/2022
Y11204773||Facile|BYE51AA1|12/29/2022|0|||SYSINT24|In attesa scatto|12/29/2022
Y11255680|3014419830|365|BUXMHAAG|1/12/2023|4651.95|||7913|Accepted|1/3/2023
Y11281151|3014418146|Facile|H03DW0NN|1/5/2023|3057.3|||12938|Accepted|1/5/2023
Y11334900|3014418851|365|B9K06AA6|1/10/2023|3676|||12435|Accepted|1/10/2023
Y11337671|3014420287|Facile|FDKVXAAX|1/12/2023|2200.82|||8135|Accepted|1/10/2023
Y11340171|3014420212|Facile|BUU66AA6|1/12/2023|2277.4|||5541|Accepted|1/10/2023
Y11348940|3014420139|365|FN969AA9|1/12/2023|15249.5|||9644|Accepted|1/10/2023
Y11372601|3014420922|Facile|H0600WTT|1/13/2023|4431.91|||12409|Accepted|1/11/2023
Y11379001|3014419816|Facile|GENHLAAK|1/12/2023|2412|||9989|Accepted|1/11/2023
Y11393651|3014419821|Facile|EDVEPAAN|1/12/2023|7201.9|||11084|Accepted|1/12/2023
Y11394091|3014419875|Facile|H01RRE98|1/12/2023|2248|||12490|Accepted|1/12/2023
Y11401111|3014420901|Facile|H07E46NN|1/12/2023|3014.11|||11876|Accepted|1/12/2023
Y11406511|3014420784|Facile|DVY6RAAR|1/13/2023|2673|||2284|Accepted|1/12/2023
Y11430060|3014421021|365|H014NKZY|1/13/2023|2148|||12605|Accepted|1/13/2023
Y11437481|3014420951|Facile|EFJVWAAW|1/13/2023|3206.4|||3288|Accepted|1/13/2023
Y05663502||Facile|BF68FAAF|3/24/2022|349|||992|Scatto Bloccato|1/23/2023
Y05660002||Facile|B5WNDAAB|3/24/2022|399|||992|Scatto Bloccato|1/23/2023
Y05667122||Facile|AKR7ZAAZ|3/24/2022|1647|||992|Scatto Bloccato|1/23/2023
Y05659532||Facile|DB0KLAAK|3/24/2022|916|||992|Scatto Bloccato|1/23/2023
Y05667402||Facile|F9AEMAAL|3/24/2022|379|||992|Scatto Bloccato|1/23/2023
Y05651212||Facile|D4H28AA8|3/24/2022|1348|||992|Scatto Bloccato|1/23/2023
Y05651712||Facile|H01RPL87|3/24/2022|648|||992|Scatto Bloccato|1/23/2023
Y05656742||Facile|D06X1AA1|3/24/2022|548|||992|Scatto Bloccato|1/23/2023
Y05656492||Facile|GF13TAAT|3/24/2022|1198|||992|Scatto Bloccato|1/23/2023
Y05663762||Facile|H07BRTLK|3/24/2022|349|||992|Scatto Bloccato|1/23/2023
Y05580782||Facile|H00800ZZ|3/24/2022|2747|||992|Scatto Bloccato|1/23/2023
Y05516972||Facile|D4UP7AA6|3/24/2022|1798|||992|Scatto Bloccato|1/23/2023
Y05745222||Facile|B7SFNAAM|3/24/2022|599|||992|Scatto Bloccato|1/23/2023
Y05648732||Facile|FLJ90AA0|3/24/2022|850|||992|Scatto Bloccato|1/23/2023
Y05656072||Facile|H002L977|3/24/2022|349|||992|Scatto Bloccato|1/23/2023
Y05653272||Facile|BVAGAAAF|3/24/2022|498|||992|Scatto Bloccato|1/23/2023
Y05653852||Facile|BZDP0AAZ|3/24/2022|499|||992|Scatto Bloccato|1/23/2023
Y05666422||Facile|D7B5KAAK|3/24/2022|599|||992|Scatto Bloccato|1/23/2023
Y05655442||Facile|GKR5JAAJ|3/24/2022|249|||992|Scatto Bloccato|1/23/2023
Y05651462||Facile|AFM5SAAS|3/24/2022|349|||992|Scatto Bloccato|1/23/2023
Y05655452||Facile|BR7YBAAB|3/24/2022|379|||992|Scatto Bloccato|1/23/2023
Y05700132||Facile|H01URUXX|3/24/2022|599|||992|Scatto Bloccato|1/23/2023
Y05663312||Facile|H006A399|3/24/2022|848|||992|Scatto Bloccato|1/23/2023
Y05651672||Facile|H053HXYY|3/24/2022|699|||992|Scatto Bloccato|1/23/2023
Y05667682||Facile|H01KLYWW|3/24/2022|1428|||992|Scatto Bloccato|1/23/2023
Y05653662||Facile|FH0Y0AA0|3/24/2022|2527|||992|Scatto Bloccato|1/23/2023
Y05695732||Facile|ENS3EAAE|3/24/2022|599|||992|Scatto Bloccato|1/23/2023
Y05657262||Facile|BSA6YAAY|3/24/2022|498|||992|Scatto Bloccato|1/23/2023
Y05656452||Facile|GGGVGAAG|3/24/2022|349|||992|Scatto Bloccato|1/23/2023
Y05668372||Facile|H041GENM|3/24/2022|349|||992|Scatto Bloccato|1/23/2023
