contratto_cod|codice_ordine_sap|tipo_contratto|codice_opec|data_firma|net_amount|causale_annullamento|data_annullamento|codice_agente|status_quote|creazione_dta
Y11616821||Facile|BFD90AA0|1/21/2023|958.4|||12102|Bozza|1/21/2023
Y11616831||Facile|B3LNLAAK|1/21/2023|10659|||6444|Bozza|1/21/2023
Y04041722|3014424378|Facile|B37TJAAJ|1/20/2023|11630.9|||2822|Accepted|9/21/2022
Y04191762|3014424421|Facile|H0171RUT|1/20/2023|379|||9621|Accepted|9/22/2022
Y04170112|3014424418|Facile|A4VGKAAJ|1/20/2023|1602.5|||9621|Accepted|9/22/2022
Y02151462|3014424411|Facile|H04TZFHG|1/20/2023|1081.9|||9569|Accepted|9/22/2022
Y04131652|3014424415|Facile|DAL1NAB9|1/20/2023|499|||1025|Accepted|9/22/2022
Y04013362|3014424412|Facile|A7NAEAAD|1/20/2023|2347|||3430|Accepted|9/22/2022
Y04196192|3014424423|Facile|BXLMJAAH|1/20/2023|1574.95|||12564|Accepted|9/22/2022
Y04121532|3014424414|Facile|GP4JBAAA|1/20/2023|1756.9|||2042|Accepted|9/22/2022
Y04144292|3014424416|Facile|E50NUAAT|1/20/2023|4247|||9579|Accepted|9/22/2022
Y04206902|3014424433|Facile|E340MAAM|1/20/2023|954|||11941|Accepted|9/22/2022
Y04204912|3014424431|Facile|DBU3SAAS|1/20/2023|1648|||9346|Accepted|9/22/2022
Y04037372|3014424413|Facile|A9KSYAAX|1/20/2023|1898|||8936|Accepted|9/22/2022
Y04167212|3014424417|Facile|A8F09AA9|1/20/2023|1710.55|||1121|Accepted|9/22/2022
Y04191072|3014424420|Facile|D9TZDAAD|1/20/2023|2289.35|||10058|Accepted|9/22/2022
Y04205902|3014424432|Facile|H048KM43|1/20/2023|529|||8404|Accepted|9/22/2022
Y04132332||Facile|H07GPZ00|1/21/2022|848|||11621|Scatto Bloccato|9/22/2022
Y04237162||Facile|H07H5J98|1/21/2022|928|||12055|In attesa scatto|9/22/2022
Y04081212||Facile|EKDLAAAK|1/21/2022|999.4|||8025|Scatto Bloccato|9/22/2022
Y04222942||Facile|F6ZZ0ABA|1/21/2022|1442.9|||5332|Scatto Bloccato|9/22/2022
Y03979912||Facile|G1YSHAAG|1/21/2022|4005.9|||7339|In attesa scatto|9/22/2022
Y04101612||Facile|H011MRNM|1/21/2022|1567|||1439|Scatto Bloccato|9/22/2022
Y04137462||Facile|F19W6AA6|1/21/2022|1436.9|||10097|Scatto Bloccato|9/22/2022
Y03959652||Facile|AZ179AA9|1/21/2022|3198|||9364|Scatto Bloccato|9/22/2022
Y04081732||Facile|DD948AA8|1/21/2022|1110.95|||8871|Scatto Bloccato|9/22/2022
Y03999812||Facile|H0054YVV|1/21/2022|3313.4|||8871|Scatto Bloccato|9/22/2022
Y04081792||Facile|H060PJ54|1/21/2022|635.55|||8871|Scatto Bloccato|9/22/2022
Y04171502||Facile|H07H33LL|1/21/2022|2547|||12261|Scatto Bloccato|9/22/2022
Y04203162||Facile|BX83XAAX|1/21/2022|1204|||11304|Scatto Bloccato|9/22/2022
Y04091182||Facile|BPRE5AA4|1/21/2022|931.9|||5088|Scatto Bloccato|9/22/2022
Y04225962||Facile|FXYZWAAW|1/21/2022|847.95|||2505|Scatto Bloccato|9/22/2022
Y04101402||Facile|G26JMAAL|1/21/2022|1286.31|||3688|Scatto Bloccato|9/22/2022
Y04081442||Facile|FMPN4AA3|1/21/2022|1649|||11893|Scatto Bloccato|9/22/2022
Y04226822||Facile|BKGZJAAJ|1/21/2022|1652.45|||8874|Scatto Bloccato|9/22/2022
Y04133782||Facile|H05AD2MM|1/21/2022|1098|||4626|Scatto Bloccato|9/22/2022
Y04203402||Facile|BR98UAAU|1/21/2022|1554|||9274|Scatto Bloccato|9/22/2022
Y04225862||Facile|AFNHTAAS|1/21/2022|1328.85|||12564|In attesa scatto|9/22/2022
Y04234102||Facile|H011JXUU|1/21/2022|1098|||12135|Scatto Bloccato|9/22/2022
Y04234802||Facile|E48K6AA5|1/21/2022|1287.75|||5361|Scatto Bloccato|9/22/2022
Y04132862||Facile|EWWHUAAT|1/21/2022|1785.8|||8936|Scatto Bloccato|9/22/2022
Y04192042||Facile|BMZ5PAAP|1/21/2022|1513.5|||3435|Scatto Bloccato|9/22/2022
Y04231832||Facile|ERUPZAAY|1/21/2022|499|||12371|Scatto Bloccato|9/22/2022
Y04218522||Facile|A4V14AA4|1/21/2022|1712.5|||4202|In attesa scatto|9/22/2022
Y04222972||Facile|H01H5077|1/21/2022|878|||12122|Scatto Bloccato|9/22/2022
Y03982062||Facile|B9WNWAAV|1/21/2022|1976|||1088|Scatto Bloccato|9/22/2022
Y04081712||Facile|DD948AA8|1/21/2022|1502.6|||8871|In attesa scatto|9/22/2022
Y04203492||Facile|H007Z8HH|1/21/2022|3623.95|||4337|Scatto Bloccato|9/22/2022
Y04205772||Facile|D96F9AA8|1/21/2022|3793.95|||4337|In attesa scatto|9/22/2022
Y04233352||Facile|H05DXW77|1/21/2022|1248|||1046|Scatto Bloccato|9/22/2022
Y04232712||Facile|H0198XRR|1/21/2022|2667|||4693|In attesa scatto|9/22/2022
Y04062082||Facile|ANW6YABA|1/24/2022|2167|||12610|Scatto Bloccato|9/22/2022
Y04160942||Facile|B69HFAAE|1/24/2022|2415.55|||12011|Scatto Bloccato|9/22/2022
Y04191392||Facile|H01RZRDB|1/24/2022|1949.95|||3063|In attesa scatto|9/22/2022
Y04232602||Facile|H05W07VV|1/22/2022|1419.8|||9579|Scatto Bloccato|9/23/2022
Y04163182||Facile|E6FJKAAJ|1/24/2022|1549.95|||1056|Scatto Bloccato|9/25/2022
Y04287732||Facile|H04HAV44|1/24/2022|898|||2311|Scatto Bloccato|9/25/2022
Y04235642||Facile|ED80JAAJ|1/24/2022|669|||11815|Scatto Bloccato|9/25/2022
Y04293452||Facile|ABEESAAR|1/24/2022|848|||12510|Scatto Bloccato|9/25/2022
Y03955992||Facile|D7L76AA6|1/24/2022|1128|||4693|Scatto Bloccato|9/25/2022
Y04288942||Facile|GY2HJAAH|1/24/2022|5963.69|||12572|In attesa scatto|9/25/2022
Y04233592||Facile|B657KAAK|1/24/2022|7065|||5527|In attesa scatto|9/25/2022
Y04290782||Facile|DE9XAAAX|1/24/2022|3645|||1056|Scatto Bloccato|9/25/2022
Y04170512||Facile|F4G9KAAK|1/24/2022|1098|||3281|Scatto Bloccato|9/25/2022
Y04292082||Facile|E1T1GAAG|1/25/2022|882.4|||10869|Scatto Bloccato|9/25/2022
Y04284602||Facile|FL325AA5|1/25/2022|2304.9|||8945|Scatto Bloccato|9/25/2022
Y04230702||Facile|BV272AA2|1/25/2022|4276.25|||5178|Scatto Bloccato|9/25/2022
Y04195052||Facile|H048K3WW|1/24/2022|1098|||3688|In attesa scatto|9/25/2022
Y04195342||Facile|AJAS1AA0|1/24/2022|1152.9|||1439|Scatto Bloccato|9/25/2022
Y03975142||Facile|A6S7AAA6|1/24/2022|1512.85|||9393|Scatto Bloccato|9/25/2022
Y04203202||Facile|H06J6444|1/24/2022|1124.95|||6442|Scatto Bloccato|9/25/2022
Y04196632||Facile|BSYK7AA6|1/24/2022|676|||6815|Scatto Bloccato|9/25/2022
Y03959082||Facile|H07H5033|1/8/2022|349|||31815|Scatto Bloccato|11/9/2022
Y03961472||Facile|H02XZXDD|1/10/2022|468|||992|Scatto Bloccato|11/11/2022
Y04002752||Facile|H02BKF98|1/12/2022|1097|||31619|Scatto Bloccato|11/13/2022
Y04013292||Facile|FGLF7AA6|1/12/2022|1048|||992|Scatto Bloccato|11/13/2022
Y04032092||Facile|H01EWR43|1/13/2022|547|||992|Scatto Bloccato|11/14/2022
Y04080662||Facile|H06R7M21|1/14/2022|349|||32817|Scatto Bloccato|11/15/2022
Y04064462||Facile|EDLWFAAF|1/14/2022|379|||32218|Scatto Bloccato|11/15/2022
Y04003922||Facile|EZJJ7AA6|1/15/2022|290|||32817|Scatto Bloccato|11/16/2022
Y04122792||Facile|H02PP633|1/17/2022|998|||30110|Scatto Bloccato|11/18/2022
Y04131702||Facile|F7RJNAAM|1/17/2022|377|||992|Scatto Bloccato|11/18/2022
Y04124812||Facile|B0TTXAAX|1/17/2022|499|||32817|Scatto Bloccato|11/18/2022
Y04160452||Facile|H061P2EE|1/17/2022|379|||31815|Scatto Bloccato|11/18/2022
Y04130942||Facile|H001JPZY|1/17/2022|1397|||992|Scatto Bloccato|11/18/2022
Y03907842||Facile|BVF7UAAU|1/17/2022|597|||30110|Scatto Bloccato|11/18/2022
Y04130212||Facile|ATPKYAAX|1/17/2022|878|||31619|Scatto Bloccato|11/18/2022
Y04097862||Facile|H015GG10|1/17/2022|628|||992|Scatto Bloccato|11/18/2022
Y04109782||Facile|GTYE5AA4|1/17/2022|349|||992|Scatto Bloccato|11/18/2022
Y04003932||Facile|ETFF4AA3|1/17/2022|798|||32218|Scatto Bloccato|11/18/2022
Y04129802||Facile|D8FASAAR|1/17/2022|299|||30110|Scatto Bloccato|11/18/2022
Y03894132||Facile|AAZUVAAV|1/17/2022|793|||992|Scatto Bloccato|11/18/2022
Y04160012||Facile|BNRP3AA2|1/17/2022|349|||31815|Scatto Bloccato|11/18/2022
Y04158412||Facile|DT9LGAAF|1/17/2022|228|||32218|Scatto Bloccato|11/18/2022
Y04128922||Facile|DFH96AA6|1/18/2022|468|||992|Scatto Bloccato|11/19/2022
Y04135962||Facile|H06LSG0Z|1/18/2022|375|||30110|Scatto Bloccato|11/19/2022
Y04129342||Facile|FPYX8AA8|1/18/2022|349|||30110|Scatto Bloccato|11/19/2022
Y04125552||Facile|H01B19A9|1/18/2022|568|||32218|Scatto Bloccato|11/19/2022
Y04128302||Facile|H02MF1EE|1/18/2022|1197|||992|Scatto Bloccato|11/19/2022
Y04058922||Facile|A1F7VAAV|1/18/2022|498|||32218|Scatto Bloccato|11/19/2022
Y04133022||Facile|H02E23JJ|1/18/2022|349|||31619|Scatto Bloccato|11/19/2022
Y04123082||Facile|DBN2WAAW|1/18/2022|229|||32218|Scatto Bloccato|11/19/2022
Y04136792||Facile|H053YRYX|1/18/2022|1197|||992|Scatto Bloccato|11/19/2022
Y03949862||Facile|FDFWJAAJ|1/18/2022|248|||32218|Scatto Bloccato|11/19/2022
Y04205782||Facile|AJD3LAAL|1/20/2022|2763|||991|Scatto Bloccato|11/19/2022
Y04201272||Facile|EWNZ0AA0|1/18/2022|429|||31619|Scatto Bloccato|11/19/2022
Y04124792||Facile|FKB6UAAU|1/18/2022|349|||32218|Scatto Bloccato|11/19/2022
Y04193402||Facile|E3T33AA3|1/18/2022|349|||31619|Scatto Bloccato|11/19/2022
Y04202612||Facile|H02SZNML|1/18/2022|349|||31619|Scatto Bloccato|11/19/2022
Y04128022||Facile|AFDHPAAN|1/18/2022|290|||30110|Scatto Bloccato|11/19/2022
Y04163612||Facile|H01GEFDB|1/18/2022|898|||31815|Scatto Bloccato|11/19/2022
Y04163272||Facile|BY9VZABA|1/18/2022|597|||30110|Scatto Bloccato|11/19/2022
Y05833142||Facile|EX516AA6|4/1/2022|1181.9|||10565|Scatto Bloccato|12/2/2022
Y05792052||Facile|H013BDHG|4/1/2022|599|||12135|Scatto Bloccato|12/2/2022
Y05837792||Facile|H07D3866|4/1/2022|1028|||2939|Scatto Bloccato|12/2/2022
Y05821302||Facile|H019SWWW|4/1/2022|2796|||12306|Scatto Bloccato|12/2/2022
Y04328132||Facile|H0144DFE|4/1/2022|1198|||1626|Scatto Bloccato|12/2/2022
Y05834632||Facile|H02MVXNN|4/1/2022|948|||1056|Scatto Bloccato|12/2/2022
Y05790572||Facile|H017K6MM|4/1/2022|599|||1056|Scatto Bloccato|12/2/2022
Y05833622||Facile|H01P14JJ|4/1/2022|1295.02|||2175|Scatto Bloccato|12/2/2022
Y11185751|3014419015|Facile|H05MZYNN|1/10/2023|1960.58|||1076|Accepted|12/28/2022
Y11256560|3014419076|365|H02VB866|1/10/2023|1457.66|||12054|Accepted|1/3/2023
Y11315681|3014424334|Facile|H002PT32|1/9/2023|399|||32218|Accepted|1/9/2023
Y11336971|3014424435|Facile|EZW00AA0|1/20/2023|499|||32218|Accepted|1/10/2023
Y11347961||Facile|BA4LKAAJ|1/11/2023|14000.89|||4438|Accepted|1/10/2023
Y11368841|3014424336|Facile|AAWX4AA4|1/19/2023|400|||32218|Accepted|1/11/2023
Y11369060|3014419718|365|FFEZ2AA2|1/12/2023|699|||8943|Accepted|1/11/2023
Y11374601|3014419917|Facile|F0WT9AA9|1/12/2023|2498|||12429|Accepted|1/11/2023
Y11375331|3014419698|Facile|F9YG3AA2|1/12/2023|2247|||1056|Accepted|1/11/2023
Y11393731|3014419822|Facile|EL5PSAAR|1/12/2023|9381|||9274|Accepted|1/12/2023
Y11397431|3014419851|Facile|APSX9AA9|1/12/2023|6716|||6284|Accepted|1/12/2023
Y11409241|3014424080|Facile|DMZD0AAZ|1/17/2023|2347|||31619|Accepted|1/12/2023
Y11432851|3014424282|Facile|FHH62AA2|1/18/2023|999|||32218|Accepted|1/13/2023
Y11438211|3014424081|Facile|BW4ZVAAV|1/13/2023|2000|||32817|Accepted|1/13/2023
Y11457051|3014424115|Facile|E6VLKAAJ|1/19/2023|312.02|||31619|Accepted|1/14/2023
Y11472111|3014424319|Facile|A4GTEAAD|1/19/2023|2098|||30110|Accepted|1/16/2023
Y11472591|3014424245|Facile|DAPPAAAN|1/20/2023|2000|||32218|Accepted|1/16/2023
Y11476421|3014424339|Facile|B2U0ZAAZ|1/16/2023|999|||32218|Accepted|1/16/2023
Y11508971|3014424157|Facile|E998XAAX|1/17/2023|599|||32218|Accepted|1/17/2023
Y11518111|3014424283|Facile|DJ95SAAS|1/17/2023|1742|||30110|Accepted|1/17/2023
Y11517820|3014424246|365|A1VGPAAN|1/17/2023|198.99|||30221|Accepted|1/17/2023
Y11541441|3014424340|Facile|H07LEA76|1/18/2023|515|||32218|Accepted|1/18/2023
Y11542181|3014424160|Facile|GY1VZAAZ|1/20/2023|499.01|||32218|Accepted|1/18/2023
Y11542581|3014424341|Facile|H05Y81SS|1/18/2023|1199.01|||32218|Accepted|1/18/2023
Y11545341|3014424320|Facile|H01DG6TT|1/20/2023|449|||32218|Accepted|1/18/2023
Y11546611|3014424284|Facile|H006B1KK|1/18/2023|499|||32218|Accepted|1/18/2023
Y11549890|3014424147|365|H05H1A0Z|1/18/2023|898.99|||30221|Accepted|1/18/2023
Y11552561|3014424161|Facile|E0F0DAAD|1/18/2023|455|||32218|Accepted|1/18/2023
Y11550331|3014424342|Facile|GJ37BAAB|1/20/2023|698.99|||32218|Accepted|1/18/2023
Y11550901|3014424538|Facile|BS2FMAAL|1/16/2023|1985|||32218|Accepted|1/18/2023
Y11551991|3014424118|Facile|ANBUVAAV|1/18/2023|400|||32218|Accepted|1/18/2023
Y11553101|3014424285|Facile|BGZF5AA4|1/20/2023|599|||32218|Accepted|1/18/2023
Y11554201|3014424248|Facile|GFEXUAAU|1/18/2023|799|||32218|Accepted|1/18/2023
Y11559581|3014424344|Facile|H063TVZZ|1/16/2023|349|||30190|Accepted|1/18/2023
Y11560081|3014424345|Facile|H0127M87|1/17/2023|499.01|||30190|Accepted|1/18/2023
Y11575401|3014424286|Facile|H02PR5UU|1/19/2023|599|||32218|Accepted|1/19/2023
Y11575900|3014424163|365|H07H1511|1/18/2023|299|||30221|Accepted|1/19/2023
Y11576491|3014424250|Facile|H07FLDED|1/19/2023|1999.02|||32218|Accepted|1/19/2023
Y11576801|3014424085|Facile|B67R9AA8|1/19/2023|449.99|||32218|Accepted|1/19/2023
Y11577321|3014424346|Facile|AMX01AA1|1/19/2023|399|||32218|Accepted|1/19/2023
Y11577581|3014424251|Facile|H01ZXD32|1/19/2023|649|||32218|Accepted|1/19/2023
Y11577591|3014424164|Facile|B7ZB6AA5|1/19/2023|999|||32218|Accepted|1/19/2023
Y11577611|3014424119|Facile|FJHRZAAY|1/19/2023|1999.01|||31619|Accepted|1/19/2023
Y11577621|3014424148|Facile|H009DR0Z|1/19/2023|529|||31619|Accepted|1/19/2023
Y11577651|3014424149|Facile|E94JSAAR|1/19/2023|399|||31619|Accepted|1/19/2023
Y11577731|3014424165|Facile|H011WH98|1/19/2023|1249|||31619|Accepted|1/19/2023
Y11578021|3014424166|Facile|H07GNTKJ|1/19/2023|499|||31619|Accepted|1/19/2023
Y11578081|3014424347|Facile|GZUX3AA3|1/19/2023|449.99|||32218|Accepted|1/19/2023
Y11578351|3014424232|Facile|A5Y2UAAU|1/19/2023|1348|||31619|Accepted|1/19/2023
Y11578511|3014424348|Facile|BTW5FAAF|1/19/2023|1378|||32218|Accepted|1/19/2023
Y11578521|3014424349|Facile|GTFHJAAH|1/19/2023|1098|||31619|Accepted|1/19/2023
Y09869691|3014397742|Facile|BJD4EAAE|11/15/2022|920|||8416|Accepted|10/24/2022
Y09913611|3014416035|Facile|GWRB8AA7|12/27/2022|1422.4|||12630|Accepted|10/25/2022
Y00477181|3014172198|Facile|B2TY3AA3|7/14/2021|499|||31619|Accepted|7/14/2021
Y01852351|3014222959|Facile|GWRB8AA7|10/28/2021|3624.3|||12630|Accepted|9/27/2021
Y02631371|3014224581|Facile|BJD4EAAE|11/2/2021|918|||8416|Accepted|10/26/2021
Y03908400|3014251424|365|H05XAHBA|1/10/2022|1229.99|||9149|Accepted|1/4/2022
Y04287431|3014259479|Facile|B1PTXAAW|1/22/2022|299|||31611|Accepted|1/24/2022
Y04320771|3014260517|Facile|DLZ5LAAL|1/25/2022|1998|||30110|Accepted|1/25/2022
Y04326541|3014260597|Facile|GMJPJAAH|1/25/2022|199|||30250|Accepted|1/25/2022
Y04540201|3014265612|Facile|B0L1VAAV|2/2/2022|229|||30190|Accepted|2/2/2022
Y05917380|3014308647|365|EKTR0AAZ|4/29/2022|1198|||6241|Accepted|4/6/2022
Y07874551|3014343375|Facile|BFR4WAAW|7/13/2022|1497|||12273|Accepted|7/12/2022
Y07943430|3014343878|365|GXP20AA0|7/14/2022|1167|||3666|Accepted|7/14/2022
Y09674780|3014405243|365|GE43KAAK|11/30/2022|1345.02|||12560|Accepted|10/17/2022
Y10433480||365|H06L7VMM|1/21/2023|1572.3|||2311|Accepted|11/17/2022
Y04287432||Facile|B1PTXAAW|1/22/2022|349|ANN||31619|Annullata|11/23/2022
Y11279460|3014418143|365|H05XAHBA|1/9/2023|820|||9149|Accepted|1/5/2023
Y11279731|3014418057|Facile|B24P4AA3|1/5/2023|1257.5|||9149|Accepted|1/5/2023
Y11301631||Facile|H07E6XRR|1/21/2023|1116.34|||6262|Bozza|1/8/2023
Y11301780||365|FDA5BAAB|1/21/2023|529|||6262|Bozza|1/8/2023
Y11341171||Facile|E0TT5AA5|1/10/2023|1688.1|||12561|Bozza|1/10/2023
Y11346061||Facile|H05W07VV|1/21/2023|1418.6|||9579|In Firma|1/10/2023
Y11456470|3014422041|365|H06PW688|1/17/2023|3830.2|||2547|Accepted|1/14/2023
Y11456501|3014421589|Facile|D3NRDAAB|1/16/2023|1357.9|||11304|Accepted|1/14/2023
Y11456551|3014421971|Facile|AHPJAAAH|1/17/2023|1580|||11304|Accepted|1/14/2023
Y11511900||365|F42KYAAX|1/16/2023|922.98|||30221|Accepted|1/17/2023
Y11514091|3014422526|Facile|BYTRLAAK|1/17/2023|1525.15|||11304|Accepted|1/17/2023
Y11514401|3014422640|Facile|B2MWHAAH|1/17/2023|788.9|||11304|Accepted|1/17/2023
Y11542451|3014424004|Facile|DLZ5LAAL|1/18/2023|1998|||31619|Accepted|1/18/2023
Y11554640||365|H01GB9KK|1/18/2023|199|||30221|Accepted|1/18/2023
Y11575690||365|FN2NWAAV|1/21/2023|299|||63078|Accepted|1/19/2023
Y11581151||Facile|ESJ1PAAP|1/19/2023|225|||31619|Accepted|1/19/2023
Y11581821||Facile|B1PTXAAW|1/19/2023|399|||31619|Accepted|1/19/2023
Y11582191||Facile|GRMEAAAD|1/19/2023|599|||30190|Bozza|1/19/2023
Y11597261||Facile|F95F5AA4|1/19/2023|445|||30190|Accepted|1/20/2023
Y11603001|3014424454|Facile|AJGP8AA7|1/20/2023|399|||31811|Accepted|1/20/2023
Y11603060||365|H005WA98|1/20/2023|349|||30221|Accepted|1/20/2023
Y11616271||Facile|H0712AJH|1/21/2023|539.09|||12306|Bozza|1/21/2023
Y11616310||365|DLGJKAAJ|1/21/2023|10390.02|||12150|Bozza|1/21/2023
Y11616351||Facile|EML5MAAM|1/21/2023|4897|||12729|Bozza|1/21/2023
Y11616381||Facile|A3G21AA1|1/21/2023|2506.4|||10565|In Firma Cartacea|1/21/2023
Y11616441||Facile|B5RUJAAJ|1/21/2023|899|||4615|Bozza|1/21/2023
Y11616451||Facile|H05Z5BNM|1/21/2023|0|||300|Accepted|1/21/2023
Y11616461||Facile|GMJPJAAH|1/21/2023|299|||30110|Accepted|1/21/2023
Y11616471||Facile|H06V7ZSS|1/21/2023|0|||300|Accepted|1/21/2023
Y11616481||Facile|B0L1VAAV|1/21/2023|279|||30110|Accepted|1/21/2023
Y11616511||Facile|H0712GLK|1/21/2023|0|||300|Accepted|1/21/2023
Y11616541||Facile|DBNVXAAX|1/21/2023|3117|||11084|In Firma Cartacea|1/21/2023
Y11616551||Facile|H01W8R76|1/21/2023|0|||300|Accepted|1/21/2023
Y11616571||Facile|FEFXJAAJ|1/21/2023|1975.3|||11084|In Firma Cartacea|1/21/2023
Y11616581||Facile|DKJL6AA5|1/21/2023|999|||12316|Bozza|1/21/2023
Y11616591||Facile|ERXZFAAF|1/21/2023|0|||300|Accepted|1/21/2023
Y11616601||Facile|GLGE8AA7|1/21/2023|0|||300|Accepted|1/21/2023
Y11616611||Facile|H0712GML|1/21/2023|0|||300|Accepted|1/21/2023
Y11616621||Facile|H07ET0KK|1/19/2023|399|||31613|Bozza|1/21/2023
Y04654770|3014269050|365|H06M3SBA|2/8/2022|2950.03|||10823|Accepted|2/8/2022
Y02201642||Facile|H064ZSSR|12/17/2021|499|||10425|Scatto Bloccato|8/19/2022
Y03946352||Facile|DMDK8AA7|1/12/2022|1755|||1046|Scatto Bloccato|9/14/2022
Y04001182||Facile|FMZ4DAAD|1/21/2022|848|||12210|Scatto Bloccato|9/15/2022
Y04164382||Facile|AX4VEAAE|1/19/2022|518|||12547|Scatto Bloccato|9/16/2022
Y04040862||Facile|H02SEJXW|1/21/2022|1648|||7235|Scatto Bloccato|9/16/2022
Y04002252||Facile|AT4KLAAK|1/17/2022|1598.55|||8871|Scatto Bloccato|9/17/2022
Y04092852||Facile|BJL28AA8|1/17/2022|1849|||8135|Scatto Bloccato|9/19/2022
