contratto_cod|numero_annuncio|list_total|contracted_price|total_discount|data_attivazione|data_fine_prestazione|product_code|quantity|causale_annullamento|data_annullamento|status_item|creazione_dta
Y11645431|5|120|120|0|1/23/2023|7/31/2024|GODB|1|||R|1/23/2023
Y11645431|6|50|50|0|1/23/2023|1/23/2024|VIS|1|||R|1/23/2023
Y11646411|11|30|30|0|||HOMEB|1|||R|1/23/2023
Y11646411|19|1800|0|0|||FTES 8x15|1|||R|1/23/2023
Y11646411|20|735|0|0|||FTE 4x10|1|||R|1/23/2023
Y11646411|12|1999|1999|0|||LINKEDIN2|1|||R|1/23/2023
Y11646411|13|1099|1099|0|||BOOSTLIN12|1|||R|1/23/2023
Y11646411|14|550|550|0|||LSE|1|||R|1/23/2023
Y11646411|15|450|450|0|||LSP|1|||R|1/23/2023
Y11646411|16|1175|1175|0|||SLGE|1|||R|1/23/2023
Y11646411|17|475|475|0|||SLGP|1|||R|1/23/2023
Y11646411|3|331.52|331.52|0|||SGSTD|1|||R|1/23/2023
Y11646411|4|149.35|149.35|0|||SBE|1|||R|1/23/2023
Y11646411|5|113.25|113.25|0|||GODB|1|||R|1/23/2023
Y11646411|6|87.2|87.2|0|||REPM|1|||R|1/23/2023
Y11646411|7|128.88|128.88|0|||PGMOB|1|||R|1/23/2023
Y11646411|8|76.5|76.5|0|||CRMEM|1|||R|1/23/2023
Y11646411|9|41.8|41.8|0|||CRMCO|1|||R|1/23/2023
Y11646411|10|70.5|70.5|0|||CRMSM|1|||R|1/23/2023
Y11647161|14|860|860|0|||PLCP|4|||R|1/23/2023
Y11647161|3|416.34|399.68|0|||SGPRE|1|||R|1/23/2023
Y11647161|4|138.98|133.42|0|||SBE|1|||R|1/23/2023
Y11647161|5|105.39|101.17|0|||GODB|1|||R|1/23/2023
Y11647161|6|92.76|89.05|0|||PUBPG|1|||R|1/23/2023
Y11647161|7|143.1|137.37|0|||NOVPG|1|||R|1/23/2023
Y11647161|8|107.86|103.54|0|||REPG|1|||R|1/23/2023
Y11647161|9|204.55|196.35|0|||VIS|5|||R|1/23/2023
Y11647161|10|119.92|115.12|0|||PGMOB|1|||R|1/23/2023
Y11647161|11|65.61|62.98|0|||CRMEM|1|||R|1/23/2023
Y11647161|12|38.88|37.32|0|||CRMCO|1|||R|1/23/2023
Y11647161|13|65.61|62.98|0|||CRMSM|1|||R|1/23/2023
Y11650731|2|329|329|0|||SGE|1|||R|1/23/2023
Y11650731|3|170|170|0|||GODB|1|||R|1/23/2023
Y11650731|4|599|359.4|0|||MSE|1|||R|1/23/2023
Y11650731|5|49|34.3|0|||TESTO|1|||R|1/23/2023
Y11650731|6|49|38.22|0|||TESTO|1|||R|1/23/2023
Y11650780|8|599|584|15|1/23/2023|4/17/2024|MSE|1|||R|1/23/2023
Y11650780|3|299.1|291.61|7.49|1/23/2023|3/29/2024|SGBAS|1|||R|1/23/2023
Y11650780|4|144.89|141.26|3.63|1/23/2023|1/23/2024|SBE|1|||R|1/23/2023
Y11650780|5|109.87|107.12|2.75|1/23/2023|4/3/2024|GODB|1|||R|1/23/2023
Y11650780|6|4.61|4.49|0.12|1/23/2023|1/23/2024|REPL|1|||R|1/23/2023
Y11650780|7|40.53|39.52|1.01|1/23/2023|1/23/2024|CRMCO|1|||R|1/23/2023
Y11650961|10|599|359.4|0|||MSE|1|||R|1/23/2023
Y11650961|12|49|26.95|0|||TESTO|1|||R|1/23/2023
Y11650961|13|49|26.95|0|||TESTO|1|||R|1/23/2023
Y11650961|11|200|0|0|||MSR|1|||R|1/23/2023
Y11650961|3|299.1|299.1|0|||SGBAS|1|||R|1/23/2023
Y11650961|4|144.89|144.89|0|||SBE|1|||R|1/23/2023
Y11650961|5|109.87|109.87|0|||GODB|1|||R|1/23/2023
Y11650961|6|4.61|4.61|0|||REPL|1|||R|1/23/2023
Y11650961|7|40.53|40.53|0|||CRMCO|1|||R|1/23/2023
Y11650961|8|100|100|0|||VIS|2|||R|1/23/2023
Y11650961|9|149|149|0|||PGMOB|1|||R|1/23/2023
Y11651000|7|200|200|0|||VIS|4|||R|1/23/2023
Y11651000|8|30|30|0|||HOMEB|1|||R|1/23/2023
Y11651000|9|149|149|0|||PGMOB|1|||R|1/23/2023
Y11651000|10|649|649|0|||AWP|1|||R|1/23/2023
Y11651000|11|11000|11000|0|||AWCR|110|||R|1/23/2023
Y11651000|12|99|54.45|0|||LOG0|1|||R|1/23/2023
Y11651000|13|1100|150|0|||FTE 4x10|1|||R|1/23/2023
Y11651000|14|99|54.45|0|||LOG0|1|||R|1/23/2023
Y11651000|15|1100|150|0|||FTE 4x10|1|||R|1/23/2023
Y11651000|3|488|488|0|||SGP|1|||R|1/23/2023
Y11651000|4|145|145|0|||SBE|1|||R|1/23/2023
Y11651000|5|102|102|0|||GODB|1|||R|1/23/2023
Y11651000|6|1064|1064|0|||ADVNE|1|||R|1/23/2023
Y11651081|8|200|197.4|2.6|||VIS|4|||R|1/23/2023
Y11651081|9|199|196.41|2.59|||AWE|1|||R|1/23/2023
Y11651081|10|800|789.6|10.4|||AWCR|8|||R|1/23/2023
Y11651081|3|299.1|295.21|3.89|||SGBAS|1|||R|1/23/2023
Y11651081|4|144.89|143.01|1.88|||SBE|1|||R|1/23/2023
Y11651081|5|109.87|108.44|1.43|||GODB|1|||R|1/23/2023
Y11651081|6|4.61|4.55|0.06|||REPL|1|||R|1/23/2023
Y11651081|7|40.53|40|0.53|||CRMCO|1|||R|1/23/2023
Y11651201|8|199|190.19|8.81|||AWE|1|||R|1/23/2023
Y11651201|9|2400|2293.68|106.32|||AWCR|24|||R|1/23/2023
Y11651201|10|49|46.83|2.17|||TESTO|1|||R|1/23/2023
Y11651201|11|49|46.83|2.17|||TESTO|1|||R|1/23/2023
Y11651201|3|299.1|285.85|13.25|||SGBAS|1|||R|1/23/2023
Y11651201|4|144.89|138.47|6.42|||SBE|1|||R|1/23/2023
Y11651201|5|109.87|105|4.87|||GODB|1|||R|1/23/2023
Y11651201|6|4.61|4.41|0.2|||REPL|1|||R|1/23/2023
Y11651201|7|40.53|38.73|1.8|||CRMCO|1|||R|1/23/2023
Y09916040|3|299.1|299.1|0|11/3/2022|11/9/2023|SGBAS|1|||R|10/25/2022
Y09916040|4|144.89|144.89|0|11/3/2022|11/3/2023|SBE|1|||R|10/25/2022
Y09916040|5|109.87|109.87|0|||GODB|1|||R|10/25/2022
Y09916040|6|4.61|4.61|0|||REPL|1|||R|10/25/2022
Y09916040|7|40.53|40.53|0|11/3/2022|11/3/2023|CRMCO|1|||R|10/25/2022
Y00740530|2|329|329|0|8/25/2021|8/25/2022|SGE|1|||R|7/22/2021
Y00740530|3|170|170|0|8/25/2021|8/25/2022|GODB|1|||R|7/22/2021
Y00740530|4|0|0|0|8/26/2021|8/26/2022|GODS|1|||R|7/22/2021
Y00740530|5|100|100|0|8/25/2021|8/25/2022|VIS|2|||R|7/22/2021
Y02631181|6|0|0|0|11/4/2021|11/4/2022|GODS|1|||R|10/26/2021
Y02631181|7|249|224.1|24.9|11/4/2021|11/4/2022|FBB|2|||R|10/26/2021
Y02631181|8|600|540|60|11/4/2021|11/4/2022|FBCR|6|||R|10/26/2021
Y02631181|3|444|399.6|44.4|10/29/2021|10/29/2022|SGP|1|||R|10/26/2021
Y02631181|4|132|118.8|13.2|10/29/2021|10/29/2022|SBE|1|||R|10/26/2021
Y02631181|5|93|83.7|9.3|10/30/2021|10/30/2022|GODB|1|||R|10/26/2021
Y03310960|5|215|213.33|1.67|11/26/2021|11/26/2022|PLCP|1|||R|11/25/2021
Y03310960|6|30|29.77|0.23|11/26/2021|11/26/2022|HOMEB|1|||R|11/25/2021
Y03310960|8|99|53.68|0.77|8/29/2022||LOG0|1|||R|11/25/2021
Y03310960|2|329|326.44|2.56|11/26/2021|12/16/2022|SGE|1|||R|11/25/2021
Y03310960|3|170|168.68|1.32|11/26/2021|11/26/2022|GODB|1|||R|11/25/2021
Y03310960|4|100|99.22|0.78|11/26/2021|11/26/2022|VIS|2|||R|11/25/2021
Y03310960|7|599|594.35|4.65|11/26/2021|12/6/2022|MSE|1|||R|11/25/2021
Y04099161|7|76|76|0|1/23/2022|1/23/2023|FUOP|1|||R|1/17/2022
Y04099161|8|30|30|0|1/23/2022|1/29/2023|HOMEB|1|||R|1/17/2022
Y04099161|10|199|199|0|1/23/2022|2/5/2023|AWE|1|||R|1/17/2022
Y04099161|12|99|54.45|0|12/23/2022||LOG0|1|||R|1/17/2022
Y04099161|13|49|26.95|0|12/23/2022||TESTO|1|||R|1/17/2022
Y04099161|14|99|54.45|0|12/23/2022||LOG0|1|||R|1/17/2022
Y04099161|3|444|444|0|1/23/2022|1/29/2023|SGP|1|||R|1/17/2022
Y04099161|4|132|132|0|1/23/2022|1/30/2023|SBE|1|||R|1/17/2022
Y04099161|5|93|93|0|1/23/2022|1/30/2023|GODB|1|||R|1/17/2022
Y04099161|6|0|0|0|1/26/2022|1/26/2023|FBP|1|||R|1/17/2022
Y04099161|9|549|549|0|2/14/2022|3/16/2023|SPS2|1|||R|1/17/2022
Y04099161|11|1700|1700|0|1/23/2022|1/23/2023|AWCR|17|||R|1/17/2022
Y04109180|7|149|145.05|3.95|1/21/2022|6/5/2023|PGMOB|1|||R|1/17/2022
Y04109180|8|750|750|0|2/23/2022|2/23/2023|ADVNR|1|||R|1/17/2022
Y04109180|9|199|193.73|5.27|1/21/2022|6/13/2023|AWE|1|||R|1/17/2022
Y04109180|10|3100|3017.85|82.15|1/21/2022|1/21/2023|AWCR|31|||R|1/17/2022
Y04109180|11|249|242.4|6.6|4/15/2022|4/15/2023|FBB|2|||R|1/17/2022
Y04109180|12|2000|1947|53|4/15/2022|4/15/2023|FBCR|20|||R|1/17/2022
Y04109180|13|49|26.95|0|||TESTO|1|||R|1/17/2022
Y04109180|14|49|26.95|0|||TESTO|1|||R|1/17/2022
Y04109180|3|235|235|0|1/21/2022|6/6/2023|SGE|1|||R|1/17/2022
Y04109180|4|156|156|0|1/21/2022|6/7/2023|SBE|1|||R|1/17/2022
Y04109180|5|110|110|0|1/21/2022|6/4/2023|GODB|1|||R|1/17/2022
Y04109180|6|1148|1148|0|1/21/2022|6/11/2023|ADVNE|1|||R|1/17/2022
Y04124270|4|228|228|0|1/28/2022|2/12/2023|FUOP|3|||R|1/18/2022
Y04124270|6|99|54.45|0|12/20/2022||LOG0|1|||R|1/18/2022
Y04124270|7|99|54.45|0|12/20/2022||LOG0|1|||R|1/18/2022
Y04124270|8|99|54.45|0|12/20/2022||LOG0|1|||R|1/18/2022
Y04124270|2|329|329|0|1/28/2022|5/29/2023|SGE|1|||R|1/18/2022
Y04124270|3|170|170|0|1/28/2022|2/21/2023|GODB|1|||R|1/18/2022
Y04124270|5|599|599|0|1/28/2022|3/27/2023|MSE|1|||R|1/18/2022
Y04161331|7|50|45|5|1/27/2022|2/13/2023|BDSK|1|||R|1/19/2022
Y04161331|8|449|404.1|44.9|1/27/2022|2/13/2023|BDADV|1|||R|1/19/2022
Y04161331|9|649|584.1|64.9|1/26/2022|2/13/2023|AWP|1|||R|1/19/2022
Y04161331|10|3000|2700|300|1/26/2022|1/26/2023|AWCR|30|||R|1/19/2022
Y04161331|3|447|402.3|44.7|1/26/2022|2/26/2023|SGP|1|||R|1/19/2022
Y04161331|4|133|119.7|13.3|1/26/2022|2/13/2023|SBE|1|||R|1/19/2022
Y04161331|5|93|83.7|9.3|1/26/2022|2/13/2023|GODB|1|||R|1/19/2022
Y04161331|6|976|878.4|97.6|1/26/2022|2/26/2023|ADVNE|1|||R|1/19/2022
Y04161331|13|1080|972|0|1/28/2022|2/8/2023|EUEN|1|||R|1/19/2022
Y04161331|14|0|0|0|||WLW|1|||R|1/19/2022
Y04328050|4|30|30|0|1/25/2022|3/13/2023|HOMEB|1|||R|1/25/2022
Y04328050|2|329|329|0|1/25/2022|3/30/2023|SGE|1|||R|1/25/2022
Y04328050|3|170|170|0|1/25/2022|4/4/2023|GODB|1|||R|1/25/2022
Y04328050|5|599|599|0|1/25/2022|4/18/2023|MSE|1|||R|1/25/2022
Y04333450|4|100|100|0|1/26/2022|1/26/2023|VIS|2|||R|1/25/2022
Y04333450|5|215|215|0|1/26/2022|2/19/2023|PLCP|1|||R|1/25/2022
Y04333450|6|30|30|0|1/26/2022|2/19/2023|HOMEB|1|||R|1/25/2022
Y04333450|8|99|54.45|0|5/24/2022||LOG0|1|||R|1/25/2022
Y04333450|9|1300|350|0|5/24/2022||FTE 4x10|1|||R|1/25/2022
Y04333450|2|329|329|0|1/26/2022|3/9/2023|SGE|1|||R|1/25/2022
Y04333450|3|170|170|0|2/23/2022|2/23/2023|GODB|1|||R|1/25/2022
Y04333450|7|599|599|0|1/26/2022|3/19/2023|MSE|1|||R|1/25/2022
Y04350290|4|100|100|0|1/27/2022|1/27/2023|VIS|2|||R|1/26/2022
Y04350290|2|329|329|0|1/27/2022|9/6/2023|SGE|1|||R|1/26/2022
Y04350290|3|170|170|0|1/27/2022|7/19/2023|GODB|1|||R|1/26/2022
Y04350290|5|599|599|0|1/27/2022|7/3/2023|MSE|1|||R|1/26/2022
Y04350571|6|49|22.33|4.62|5/25/2022||TESTO|1|||R|1/26/2022
Y04350571|7|49|22.33|4.62|5/25/2022||TESTO|1|||R|1/26/2022
Y04350571|3|444|367.9|76.1|1/27/2022|7/6/2023|SGP|1|||R|1/26/2022
Y04350571|4|132|109.38|22.62|1/27/2022|1/27/2023|SBE|1|||R|1/26/2022
Y04350571|5|93|77.06|15.94|1/27/2022|7/6/2023|GODB|1|||R|1/26/2022
Y04385270|5|49|26.95|0|||TESTO|1|||R|1/27/2022
Y04385270|6|49|26.95|0|||TESTO|1|||R|1/27/2022
Y04385270|2|329|329|0|1/30/2022|3/25/2023|SGE|1|||R|1/27/2022
Y04385270|3|170|170|0|1/30/2022|4/28/2023|GODB|1|||R|1/27/2022
Y04385270|4|0|0|0|2/7/2022|2/7/2023|GODS|1|||R|1/27/2022
Y04390891|3|179|142.3|36.7|1/27/2022|4/23/2023|SBE|1|||R|1/27/2022
Y04390891|4|99|78.7|20.3|9/29/2022||LOG0|1|||R|1/27/2022
Y04506521|3|123|122.55|0.45|2/11/2022|4/14/2023|SGE|1|||R|2/1/2022
Y04506521|4|106|105.61|0.39|2/11/2022|2/25/2023|SBE|1|||R|2/1/2022
Y04506521|5|120|119.56|0.44|2/11/2022|5/19/2023|GODB|1|||R|2/1/2022
Y04506521|6|100|99.64|0.36|2/11/2022|2/11/2023|VIS|2|||R|2/1/2022
Y04506521|7|49|48.82|0.18|12/22/2022||TESTO|1|||R|2/1/2022
Y04506521|8|49|48.82|0.18|12/22/2022||TESTO|1|||R|2/1/2022
Y04640711|3|123|123|0|2/9/2022|9/29/2023|SGE|1|||R|2/7/2022
Y04640711|4|106|106|0|2/9/2022|2/9/2023|SBE|1|||R|2/7/2022
Y04640711|5|120|120|0|2/9/2022|3/5/2023|GODB|1|||R|2/7/2022
Y04643221|2|329|310.25|18.75|2/9/2022|8/29/2023|SGE|1|||R|2/7/2022
Y04643221|3|170|160.31|9.69|2/9/2022|3/15/2023|GODB|1|||R|2/7/2022
Y04643221|4|149|140.51|8.49|2/9/2022|2/9/2023|PGMOB|1|||R|2/7/2022
Y04643221|5|599|338.92|20.48|2/9/2022|4/11/2023|MSE|1|||R|2/7/2022
Y04648591|6|0|0|0|2/14/2022|2/14/2023|GODS|1|||R|2/8/2022
